N1,N2,POS1,POS2,reviews.txt
仕組み,作り上げる,名詞-動詞,一般-自立,1
他人,感情,名詞-名詞,一般-一般,1
付き合う,必要,動詞-名詞,自立-形容動詞語幹,1
付き合う,思う,動詞-動詞,自立-自立,1
以上,礼賛,名詞-名詞,非自立-サ変接続,1
会社,働く,名詞-動詞,一般-自立,1
伝記,する,名詞-動詞,一般-自立,1
伝記,多く,名詞-名詞,一般-副詞可能,1
伝記,本,名詞-名詞,一般-一般,1
伝記,著者,名詞-名詞,一般-一般,1
似る,いる,動詞-動詞,自立-非自立,4
似る,てる,動詞-動詞,自立-非自立,1
体験,本人,名詞-名詞,サ変接続-一般,1
何,問題,名詞-名詞,代名詞-ナイ形容詞語幹,1
何,求める,名詞-動詞,代名詞-自立,1
何,週間,名詞-名詞,数-接尾,1
作,偉大,名詞-名詞,接尾-形容動詞語幹,1
作り,すごい,名詞-形容詞,接尾-自立,1
作り上げる,できる,動詞-動詞,自立-自立,1
作る,iPhone,動詞-名詞,自立-一般,1
作る,いる,動詞-動詞,自立-非自立,1
作る,分厚い,動詞-形容詞,自立-自立,1
使う,いる,動詞-動詞,自立-非自立,1
使う,利用,動詞-名詞,自立-サ変接続,1
使う,感想,動詞-名詞,自立-一般,1
例,プロダクト,名詞-名詞,一般-一般,1
価値,観,名詞-名詞,一般-接尾,1
信じる,突き進む,動詞-動詞,自立-自立,1
俺,アップル,名詞-名詞,代名詞-一般,1
個人,的,名詞-名詞,一般-接尾,1
個性,結婚,名詞-名詞,一般-サ変接続,1
偉大,人,名詞-名詞,形容動詞語幹-一般,1
偉大,仕事,名詞-名詞,形容動詞語幹-サ変接続,2
偏見,嫌悪,名詞-名詞,一般-サ変接続,1
側面,丁寧,名詞-名詞,一般-形容動詞語幹,1
備える,こと,動詞-名詞,自立-非自立,1
働く,ない,動詞-形容詞,自立-自立,1
働く,ー,動詞-名詞,自立-一般,1
働く,思う,動詞-動詞,自立-自立,1
働ける,思う,動詞-動詞,自立-自立,1
僕,和,名詞-名詞,代名詞-一般,1
僕,必読,名詞-名詞,代名詞-サ変接続,1
僕,泉,名詞-名詞,代名詞-一般,1
優れる,いる,動詞-動詞,自立-非自立,2
克つ,やりとげる,動詞-動詞,自立-自立,1
児,1,名詞-名詞,接尾-数,1
共感,する,名詞-動詞,サ変接続-自立,1
内側,遊び心,名詞-名詞,一般-一般,1
内容,忘れる,名詞-動詞,一般-自立,1
冊,デジタル,名詞-名詞,接尾-一般,1
冊,偏見,名詞-名詞,接尾-一般,1
冊,知る,名詞-動詞,接尾-自立,1
写真,スケッチ,名詞-名詞,一般-サ変接続,1
出す,する,動詞-動詞,自立-自立,1
出す,仕事,動詞-名詞,自立-サ変接続,1
出る,くる,動詞-動詞,自立-非自立,2
出来る,おもう,動詞-動詞,自立-自立,1
出来る,惹く,動詞-動詞,自立-自立,1
出版,深い,名詞-形容詞,サ変接続-自立,1
出現,する,名詞-動詞,サ変接続-自立,1
分かる,もん,動詞-名詞,自立-非自立,1
分かる,世の中,動詞-名詞,自立-一般,1
分かる,程,動詞-名詞,自立-非自立,1
分かる,長い,動詞-形容詞,自立-自立,1
分厚い,大変,形容詞-名詞,自立-形容動詞語幹,1
